,mite_id,substrates,products
0,MITE0000001.reaction1.example1,COc1c(Cl)c(O)c(Cl)c(C)c1C(=O)O[C@H]1[C@H](O)C[C@H](O[C@H]2[C@@H](O)CC3(O[C@@H]4[C@@H](C)O[C@@H](O[C@@H]5[C@@H](O)[C@H](O[C@H]6[C@H](O)[C@H](OC)[C@H](O[C@@H]7OC[C@@H]8O[C@]9(O[C@H]8[C@H]7OC(=O)C(C)C)O[C@H](C)[C@@](O)(C(C)=O)C7OCOC79)O[C@@H]6CO)O[C@H](C)[C@@H]5OC)C[C@@]4(C)O3)O[C@@H]2C)O[C@@H]1C,COC[C@H]1O[C@@H](O[C@@H]2OC[C@@H]3O[C@]4(O[C@H]3[C@H]2OC(=O)C(C)C)O[C@H](C)[C@@](O)(C(C)=O)C2OCOC24)[C@@H](OC)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](C)[C@H](OC)[C@H](O[C@H]2C[C@@]3(C)OC4(C[C@H](O)[C@H](O[C@H]5C[C@@H](O)[C@H](OC(=O)c6c(C)c(Cl)c(O)c(Cl)c6OC)[C@@H](C)O5)[C@@H](C)O4)O[C@@H]3[C@@H](C)O2)[C@H]1O
1,MITE0000002.reaction1.example1,COC[C@H]1O[C@@H](O[C@@H]2OC[C@@H]3O[C@]4(O[C@H]3[C@H]2OC(=O)C(C)C)O[C@H](C)[C@@](O)(C(C)=O)C2OCOC24)[C@@H](OC)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](C)[C@H](OC)[C@H](O[C@H]2C[C@@]3(C)OC4(C[C@H](O)[C@H](O[C@H]5C[C@@H](O)[C@H](OC(=O)c6c(C)c(Cl)c(O)c(Cl)c6O)[C@@H](C)O5)[C@@H](C)O4)O[C@@H]3[C@@H](C)O2)[C@H]1O,COC[C@H]1O[C@@H](O[C@@H]2OC[C@@H]3O[C@]4(O[C@H]3[C@H]2OC(=O)C(C)C)O[C@H](C)[C@@](O)(C(C)=O)C2OCOC24)[C@@H](OC)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](C)[C@H](OC)[C@H](O[C@H]2C[C@@]3(C)OC4(C[C@H](O)[C@H](O[C@H]5C[C@@H](O)[C@H](OC(=O)c6c(C)c(Cl)c(O)c(Cl)c6OC)[C@@H](C)O5)[C@@H](C)O4)O[C@@H]3[C@@H](C)O2)[C@H]1O
2,MITE0000003.reaction1.example1,COC[C@H]1O[C@@H](O[C@@H]2OC[C@@H]3O[C@]4(O[C@H]3[C@H]2OC(=O)C(C)C)O[C@H](C)[C@@](O)(C(C)=O)C2OCOC24)[C@@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](C)[C@H](OC)[C@H](O[C@H]2C[C@@]3(C)OC4(C[C@H](O)[C@H](O[C@H]5C[C@@H](O)[C@H](OC(=O)c6c(C)c(Cl)c(O)c(Cl)c6OC)[C@@H](C)O5)[C@@H](C)O4)O[C@@H]3[C@@H](C)O2)[C@H]1O,COC[C@H]1O[C@@H](O[C@@H]2OC[C@@H]3O[C@]4(O[C@H]3[C@H]2OC(=O)C(C)C)O[C@H](C)[C@@](O)(C(C)=O)C2OCOC24)[C@@H](OC)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](C)[C@H](OC)[C@H](O[C@H]2C[C@@]3(C)OC4(C[C@H](O)[C@H](O[C@H]5C[C@@H](O)[C@H](OC(=O)c6c(C)c(Cl)c(O)c(Cl)c6OC)[C@@H](C)O5)[C@@H](C)O4)O[C@@H]3[C@@H](C)O2)[C@H]1O
3,MITE0000004.reaction1.example1,COC[C@H]1O[C@@H](O[C@@H]2OC[C@@H]3O[C@]4(O[C@H]3[C@H]2OC(=O)C(C)C)O[C@H](C)[C@@](O)(C(C)=O)C2OCOC24)[C@@H](OC)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](C)[C@H](O)[C@H](O[C@H]2C[C@@]3(C)OC4(C[C@H](O)[C@H](O[C@H]5C[C@@H](O)[C@H](OC(=O)c6c(C)c(Cl)c(O)c(Cl)c6OC)[C@@H](C)O5)[C@@H](C)O4)O[C@@H]3[C@@H](C)O2)[C@H]1O,COC[C@H]1O[C@@H](O[C@@H]2OC[C@@H]3O[C@]4(O[C@H]3[C@H]2OC(=O)C(C)C)O[C@H](C)[C@@](O)(C(C)=O)C2OCOC24)[C@@H](OC)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](C)[C@H](OC)[C@H](O[C@H]2C[C@@]3(C)OC4(C[C@H](O)[C@H](O[C@H]5C[C@@H](O)[C@H](OC(=O)c6c(C)c(Cl)c(O)c(Cl)c6OC)[C@@H](C)O5)[C@@H](C)O4)O[C@@H]3[C@@H](C)O2)[C@H]1O
4,MITE0000005.reaction1.example1,COc1cc(O)cc(C)c1C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,COc1cc(O)c(I)c(C)c1C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
5,MITE0000005.reaction2.example1,COc1cc(O)cc(C)c1C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)O,COc1cc(O)c(I)c(C)c1C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)O
6,MITE0000006.reaction1.example1,Cc1cc(O)cc(O)c1C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,COc1cc(O)cc(C)c1C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
7,MITE0000006.reaction2.example1,Cc1cc(O)cc(O)c1C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)O,COc1cc(O)cc(C)c1C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)O
8,MITE0000007.reaction1.example1,COc1c(O)c(O)c(I)c(C)c1C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)O,COc1c(O)c(I)c(C)c(C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)O)c1OC
9,MITE0000007.reaction2.example1,COc1c(O)c(O)c(I)c(C)c1C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,COc1c(O)c(I)c(C)c(C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2OP(=O)(O)O)c1OC
10,MITE0000008.reaction1.example1,COc1cc(O)c(I)c(C)c1C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,COc1c(O)c(O)c(I)c(C)c1C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
11,MITE0000008.reaction2.example1,COc1cc(O)c(I)c(C)c1C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)O,COc1c(O)c(O)c(I)c(C)c1C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)O
12,MITE0000009.reaction1.example1,C12CC=C(CC(C=CC=C(C)C3(O)CC(O)C(C)=CC3C(=O)OC(CC3(OC(C)C(C)CC3)O1)C2)C)C,C12CC(CC3(O1)CCC(C)C(C)O3)OC(=O)C1C(CC(C(=C1)C)OC)(O)C(C)=CC=CC(C)CC(C)=CC2
13,MITE0000010.reaction1.example1,COC1CC2(O)C(CO)=CC=CC(C)CC(C)=CCC3CC(CC4(CCC(C)C(C)O4)O3)OC(=O)C2C=C1C,COC1C(C)=CC2C(=O)OC3CC(CC=C(C)CC(C)C=CC=C(CO)C2(O)C1O)OC1(CCC(C)C(C)O1)C3
14,MITE0000010.reaction2.example1,COC1CC2(O)C(C)=CC=CC(C)CC(C)=CCC3CC(CC4(CCC(C)C(C)O4)O3)OC(=O)C2C=C1C,COC1CC2(O)C(CO)=CC=CC(C)CC(C)=CCC3CC(CC4(CCC(C)C(C)O4)O3)OC(=O)C2C=C1C
15,MITE0000010.reaction3.example1,CC1=CCC2CC(CC3(CCC(C)C(C)O3)O2)OC(=O)C2C=C(C)C(O)CC2(O)C(C)=CC=CC(C)C1,CC1=CCC2CC(CC3(CCC(C)C(C)O3)O2)OC(=O)C2C=C(C)C(O)C3OCC(=CC=CC(C)C1)C23O
16,MITE0000011.reaction1.example1,C/C(=C\Cc1c(O)c(C)c2c(c1O)C(=O)OC2)CCC(=O)O,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2
17,MITE0000012.reaction1.example1,COC1=CC(=O)c2c(O)c3c(c(O)c2C1=O)C(=O)C1(O)c2c(cc4cc(C)oc(=O)c4c2O)CCC1(O)C3=O,COc1cc(O)c2c(O)c3c(c(O)c2c1O)C(O)(C(=O)O)OC1(CCc2cc4cc(C)oc(=O)c4c(O)c2O1)C3=O
18,MITE0000013.reaction1.example1,COc1cc(O)c2c(O)c3c(c(O)c2c1O)C(=O)OC1(CCc2cc4cc(C)oc(=O)c4c(O)c2O1)C3=O,COc1cc(O)c2c(O)c3c(c(O)c2c1O)OC1(CCc2cc4cc(C)oc(=O)c4c(O)c2O1)C3=O
19,MITE0000014.reaction1.example1,CC(=O)C1=C(O)[C@@H](O)C2Cc3cc4cc(O)cc(O)c4c(O)c3C(=O)C2(O)C1=O,CO[C@@H]1C(O)=C(C(C)=O)C(=O)C2(O)C(=O)c3c(cc4cc(O)cc(O)c4c3O)CC12
